tipo_factura,id_criterio,criterio,codigo_producto,precio,codigo_corte,corte,categoria
Venta Carne,322,D-CHICHARRONCITOS DE RES,000055,19500.00,1362,D-CHICHARRONCITOS DE RES,Producto
Venta Carne,284,D-CHOCOZUELA,000047,4000.00,1288,D-CHOCOZUELA,Producto Cárnico Comestible
Venta Carne,191,D-COGOTE,000009,25600.00,1120,D-COGOTE,Producto
Venta Carne,319,D-CORREA,000054,26300.00,1346,D-CORREA,Producto
Venta Carne,277,D-COSTILLA,000042,20200.00,1271,D-COSTILLA,Producto
Venta Carne,218,D-COSTILLA DELANTERA,000036,17000.00,1148,D-COSTILLA DELANTERA,Producto
Venta Carne,195,D-COSTILLA DESPALADA,000013,27900.00,1124,D-COSTILLA DESPALADA,Producto
Venta Carne,288,D-COSTILLA DESPALADA CON FALDA,000049,18000.00,1301,D-COSTILLA DESPALADA CON FALDA,Producto
Venta Carne,193,D-COSTILLA EN ESCUDO,000011,18900.00,1122,D-COSTILLA EN ESCUDO,Producto
Venta Carne,196,D-COSTILLA LLANERA,000014,18900.00,1125,D-COSTILLA LLANERA,Producto
Venta Carne,219,D-COSTILLA TRASERA,000037,17000.00,1149,D-COSTILLA TRASERA,Producto
Venta Carne,194,D-COTILLA EN TIRAS,000012,18900.00,1123,D-COSTILLA EN TIRAS,Producto
Venta Carne,197,D-DESCARGUE,000015,30100.00,1126,D-DESCARGUE,Producto
Venta Carne,198,D-ENTRAÑA,000016,28000.00,1127,D-ENTRAÑA,Producto
Venta Carne,38,DESCARGUE CASCARA,000020,21894.00,105,DESCARGUE,Producto
Venta Carne,38,DESCARGUE CASCARA,000020,21894.00,105,DESCARGUE,Producto
Venta Carne,38,DESCARGUE CASCARA,000020,21894.00,105,DESCARGUE,Producto
Venta Carne,38,DESCARGUE CASCARA,000020,21894.00,110,DESCARGUE SIN MORRILLO,Producto
Venta Carne,38,DESCARGUE CASCARA,000020,21894.00,110,DESCARGUE SIN MORRILLO,Producto
Venta Carne,38,DESCARGUE CASCARA,000020,21894.00,110,DESCARGUE SIN MORRILLO,Producto
Venta Carne,172,DESMECHAR,000060,0.00,974,DESMECHAR,Producto
Venta Carne,327,D-FAJITAS DE COSTILLA,000060,23600.00,1367,D-FAJITAS DE COSTILLA,Producto
Venta Carne,199,D-FALDA DE COSTILLA,000017,25300.00,1128,D-FALDA DE COSTILLA,Producto
Venta Carne,287,D-GRASA DE PECHO,000048,4000.00,1287,D-GRASA DE PECHO,Producto Cárnico Comestible
Venta Carne,200,D-HERRADERO,000018,33700.00,1129,D-HERRADERO,Producto
Venta Carne,201,D-HUESO CARNUDO,000019,4300.00,1130,D-HUESO CARNUDO,Producto Cárnico Comestible
Venta Carne,256,D-LENGUA DE RES,000039,18500.00,1131,D-LENGUA DE RES,Producto
Venta Carne,202,D-LOMO ANCHO,000020,39000.00,1132,D-LOMO ANCHO,Producto
Venta Carne,203,D-LOMO DE BRAZO,000021,29800.00,1133,D-LOMO DE BRAZO,Producto
Venta Carne,204,D-LOMO FINO,000022,59600.00,1134,D-LOMO FINO,Producto
Venta Carne,205,D-MARTILLO,000023,26600.00,1135,D-MARTILLO,Producto
Venta Carne,278,D-MOLIDA INGREDIENTE,000043,27900.00,1273,D-MOLIDA INGREDIENTE,Producto
Venta Carne,318,D-MONEDA,000053,27100.00,1345,D-MONEDA,Producto
Venta Carne,206,D-MORRILLO,000024,26900.00,1136,D-MORRILLO,Producto
Venta Carne,207,D-MURILLO,000025,26400.00,1137,D-MURILLO,Producto
Venta Carne,192,D-NUDITOS DE COLA,000010,28500.00,1121,D-NUDITOS DE COLA,Producto
Venta Carne,304,D-OJO DE BIFE,000051,1.00,1325,D-OJO DE BIFE,Producto
Venta Carne,329,D-OSSOBUCO,000062,31500.00,1373,D-OSSOBUCO,Producto
Venta Carne,208,D-PALETERO,000026,29800.00,1138,D-PALETERO,Producto
Venta Carne,325,D-PALETERO CON HUESO,000058,29900.00,1365,D-PALETERO CON HUESO,Producto
Venta Carne,209,D-PECHO,000027,29900.00,1139,D-PECHO,Producto
Venta Carne,326,D-PECHO CON HUESO,000059,28200.00,1366,D-PECHO CON HUESO,Producto
Venta Carne,328,D-PRIME RIB,000061,41800.00,1368,D-PRIME RIB,Producto
Venta Carne,210,D-PUNTA DE ANCA,000028,57000.00,1140,D-PUNTA DE ANCA,Producto
Venta Carne,211,D-PUNTA DE ANCA PREMIUM,000029,1.00,1141,D-PUNTA DE ANCA PREMIUM,Producto
Venta Carne,212,D-RASPA,000030,29900.00,1142,D-RASPA,Producto
Venta Carne,213,D-RECORTES,000031,21900.00,1143,D-RECORTES,Producto
Venta Carne,214,D-SOBREBARRIGA DELGADA,000032,34700.00,1144,D-SOBREBARRIGA DELGADA,Producto
Venta Carne,215,D-TAPA DE COGOTE,000033,30200.00,1145,D-TAPA DE COGOTE,Producto
Venta Carne,216,D-TAPA DEL LOMO,000034,27700.00,1146,D-TAPA DEL LOMO,Producto
Venta Carne,276,D-TAPA DE PECHO,000041,1.00,1272,D-TAPA DE PECHO,Producto
Venta Carne,324,D-TBONNE,000057,48200.00,1364,D-TBONNE,Producto
Venta Carne,282,D-TENDON,000045,4000.00,1286,D-TENDON,Producto Cárnico Comestible
Venta Carne,283,D-TIRA TIRA,000046,4000.00,1285,D-TIRA TIRA,Producto Cárnico Comestible
Venta Carne,217,D-TORTUGA,000035,27700.00,1147,D-TORTUGA,Producto
Venta Carne,323,D-TUETANO,000056,18800.00,1363,D-TUETANO,Producto Cárnico Comestible
Venta Carne,309,D-VACIO,000052,30200.00,1344,D-VACIO,Producto
Venta Carne,258,E - ASAR FREIR,000002,1.00,1002,ASAR FREIR,Producto
Venta Carne,259,E - CARNE PASA SUDAR,00003,1.00,167,CARNE PARA SUDAR,Producto
Venta Carne,108,ENTRAÑA,000021,18002.00,115,ENTRAÑA,Producto
Venta Carne,108,ENTRAÑA,000021,18002.00,115,ENTRAÑA,Producto
Venta Carne,108,ENTRAÑA,000021,18002.00,115,ENTRAÑA,Producto
Venta Carne,363,ESPINAZO DE CERDO,000022,2700.00,1389,ESPINAZO DE CERDO,Producto
Venta Carne,36,FALDA DE COSTILLA,000022,17860.00,120,FALDA,Producto
